mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.14347429079239996,1.0429410167612947,418.8495760020774,5.880208492279053
6,HMC,0.1356580184216322,1.1028620532209092,143.08215750049854,6.1289567947387695
7,HMC,0.07047108922514259,1.2994418685841773,50.856085492773076,5.883191823959351
8,HMC,0.5100073542115178,1.5504621667435705,34.99874543143861,5.90281343460083
9,HMC,0.3070850297327532,1.6350097225014186,32.518103385421604,5.95233941078186
10,HMC,1.5514894230146563,1.6040294890471722,33.2737978603505,6.1112754344940186
11,HMC,0.6053558879906857,1.6662578719528798,31.763908194557757,6.135342121124268
12,HMC,2.956936409665162,1.484490705226846,37.34224851377226,5.8605427742004395
13,HMC,0.663756335216129,1.6666365278504882,31.82196491662246,5.930290460586548
14,HMC,0.6626628925480957,1.6658710993697872,31.75307621025268,5.97148323059082
15,HMC,0.743736172176196,1.666240505417363,31.775969731844615,5.977170944213867
16,HMC,0.6707984747092341,1.666744790161777,31.843038546615333,5.82588529586792
17,HMC,2.567853572227053,1.601812911018594,33.41525187343761,5.961278676986694
18,HMC,0.8599803394416471,1.6665050345903774,31.74759013424287,6.1262428760528564
19,HMC,2.803847384942663,1.6034715716892851,33.37488153634246,6.199532985687256
20,HMC,2.0292050433021176,1.642214625086508,32.38736616463573,5.942700624465942
