mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.06561173433728189,1.0061457550393134,2708.0317700355454,7.172004699707031
6,DEMetro,0.02655822699932404,1.0114881862018248,1524.9201975972426,7.053646802902222
7,DEMetro,0.18651402778865986,1.0151256609307937,1073.9859659408949,7.544132471084595
8,DEMetro,0.08544742530076979,1.0256570654514816,711.7726603931025,7.420042991638184
9,DEMetro,0.34679354964150216,1.0419794795740411,377.5848799905997,6.782160997390747
10,DEMetro,0.2898067606403003,1.0755695949611996,184.2302904298174,6.975880861282349
11,DEMetro,0.17958374045766554,1.1837581280893335,86.76092814159139,7.359077215194702
12,DEMetro,0.47570232222445713,1.3089670127768962,53.827570989245636,6.933932781219482
13,DEMetro,0.04953800006796072,1.358018551209676,45.5724135849435,6.858227252960205
14,DEMetro,1.0396593795462041,1.4686612203393772,39.45967055036489,6.9534382820129395
15,DEMetro,1.259320895886478,1.5269532822450818,36.36710414386394,7.569778919219971
16,DEMetro,1.432130706051675,1.5539596221876204,34.96057943204792,7.107707262039185
17,DEMetro,1.7469945692691404,1.6556626407144743,32.48878013872215,6.908149480819702
18,DEMetro,2.3625002272758437,1.5960845446225291,33.537697568270296,6.7866716384887695
19,DEMetro,0.9890675542148261,1.679903959946695,31.58868388041038,6.831994295120239
20,DEMetro,1.0386374948459907,1.681253777088747,31.97564765928923,6.803377628326416
