mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.03912871034074278,1.010663916818728,2085.1249232489295,4.463800668716431
6,Metro,0.04746314584493136,1.014362393102027,1316.6524775547557,4.553696632385254
7,Metro,0.07248801374024047,1.0213255979261826,833.9672792967863,4.71332859992981
8,Metro,0.2138977138844969,1.101731095120089,122.05767571044858,4.634591341018677
9,Metro,0.05100715217340137,1.1014147249004862,130.5121625660015,4.582734107971191
10,Metro,0.04718925101426979,1.133851068038238,97.4233595145146,4.37339186668396
11,Metro,0.7907807547785544,1.0843816281685337,154.66489444387145,4.510601282119751
12,Metro,0.8487421448742356,1.054447908424526,229.638035396821,4.669357538223267
13,Metro,1.3671188913830115,1.0027372226388582,4526.385047540865,4.484173059463501
14,Metro,1.4151861021936654,1.0041860932921447,4574.532527536461,4.331218481063843
15,Metro,1.5242279058361468,1.002271320067888,4613.333107220421,4.513505458831787
16,Metro,1.658659986075559,1.0031342335691789,4471.247148242147,4.780737400054932
17,Metro,1.703723564518734,1.0023489008295658,4593.2311534193,4.333225250244141
18,Metro,1.8113148931632232,1.0024702477799117,4543.596160108531,4.411606073379517
19,Metro,1.904530843350539,1.0026488019049649,4710.29793091918,4.503429651260376
20,Metro,2.001523896917102,1.0027171040979423,4726.615044662399,4.700014114379883
