mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.049992920482759884,1.0060232468540378,2697.149908606745,6.784857749938965
6,DEMetro,0.02725967135450196,1.0109278099454793,2097.9350801906,7.302622318267822
7,DEMetro,0.12426942697780767,1.0144096177417206,1396.8002172562296,6.584090232849121
8,DEMetro,0.10046081797912945,1.0251302278821952,1061.7911816401702,7.019597768783569
9,DEMetro,0.3578735386547386,1.0440504849041905,320.69150509680225,6.662997007369995
10,DEMetro,0.28473547460936743,1.086790243179843,151.0180255090143,7.19424843788147
11,DEMetro,0.7520402423894395,1.0609511865407018,234.12327282815838,7.055870771408081
12,DEMetro,1.1967378515004352,1.003388449726926,4651.522625388892,6.815115690231323
13,DEMetro,1.359248485592329,1.002578519684718,4529.688728542905,6.839819431304932
14,DEMetro,1.4004898934709324,1.0044880708975976,4757.1799650882695,6.903425455093384
15,DEMetro,1.508824983389844,1.0053755760683587,4702.593886829646,6.900982141494751
16,DEMetro,1.644095727773049,1.0047957608894051,4411.958600662473,7.03289794921875
17,DEMetro,1.6828907780210023,1.004208750236699,4795.495289715465,7.139871120452881
18,DEMetro,1.7833593087399051,1.004958268680777,4285.264847698534,7.471350431442261
19,DEMetro,1.8700543702858177,1.005032723064365,4297.246031592329,7.140774250030518
20,DEMetro,2.0048452387645246,1.0044257636674885,4586.761293800103,6.658173322677612
