mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.01855435117283917,1.0233019846408307,1100.1776588890073,5.857304573059082
6,HMC,0.1504253658227202,1.0640288606182144,206.73158208537407,5.971027135848999
7,HMC,0.416931420670681,1.1898390238323981,70.78153358606677,6.028769493103027
8,HMC,0.402840706167478,1.3457176182462673,45.73788269875419,5.77998161315918
9,HMC,0.5076242277133332,1.1252857962522196,101.7721488027953,5.703866243362427
10,HMC,0.9870978990473649,1.0021609190867662,8537.861270659268,5.772485733032227
11,HMC,1.0911879339302306,1.0014488630137213,8699.746213313729,5.885786533355713
12,HMC,1.1850065268751893,1.001836172584936,8518.068915077021,5.806796312332153
13,HMC,1.339615139895293,1.0009230195094252,8401.550652985366,5.775104999542236
14,HMC,1.3894569746290846,1.0028104988696191,8197.870186605747,5.6516053676605225
15,HMC,1.490996343541367,1.0013427009148752,8652.435261242814,5.877750396728516
16,HMC,1.647134675356431,1.0012938996968124,9072.333520130176,5.636922597885132
17,HMC,1.6822638008610464,1.0026186141880253,7812.897908114426,5.642586708068848
18,HMC,1.794739393810022,1.0028738957381378,8466.276701214518,5.784480571746826
19,HMC,1.8557443494957837,1.0014350387181414,9152.278296625385,5.959838628768921
20,HMC,1.9737012653805586,1.0027129685998821,9197.416384352695,5.720991134643555
