mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.17005898073749576,1.0260125648487926,561.1276126476023,6.038357734680176
6,HMC,0.14972665617608072,1.0240658075314406,679.6900271063524,6.223257303237915
7,HMC,0.2535003136816384,1.0490407328338345,273.57714098465766,5.9140026569366455
8,HMC,1.851454724755405,1.4438207049502987,39.36744570730442,5.9261908531188965
9,HMC,1.7858663658980263,1.4708962900949007,37.88569364447016,5.998359680175781
10,HMC,2.3538712155246637,1.5325987584866696,35.48462548687651,5.988006353378296
11,HMC,2.2076649506964268,1.5477098762192238,35.07264397090086,6.217104196548462
12,HMC,4.8179420155576445,1.6743285002271888,31.719407518063022,6.295597076416016
13,HMC,5.824253026014427,1.6661449347952961,31.731638907241372,5.935809135437012
14,HMC,7.028620309901003,1.6411338528853685,32.39270047095484,5.913454532623291
15,HMC,4.497433942365525,1.6412850049877683,32.3532014810831,6.015352725982666
16,HMC,9.56061895400293,1.5482012258579205,34.93008776555402,5.9537272453308105
17,HMC,5.125684291299711,1.640570363582653,32.378520922750326,6.228450536727905
18,HMC,11.709358783179791,1.4846872441283196,37.41055140821119,6.018494367599487
19,HMC,10.470097362228643,1.6017406238826797,33.423559146046344,6.0447516441345215
20,HMC,9.02360549563436,1.6661216295721128,31.757076233472738,5.8572938442230225
