mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.07444566586065753,1.0056065659079034,2403.7580172872918,4.693187952041626
6,Metro,0.02646054594421743,1.0076272651016416,1358.1055308428668,4.670124292373657
7,Metro,0.09604406585746994,1.0323053190473563,587.9723811686731,4.677783966064453
8,Metro,0.2996674233521266,1.04649170403311,389.6231485478186,4.761672258377075
9,Metro,0.047658868728153274,1.099033246790801,147.43631940115074,5.015478849411011
10,Metro,1.3486786828147732,1.3321434326957418,48.20396943905793,4.831388473510742
11,Metro,1.6848707004764414,1.3892166038044582,42.55156385275249,4.625107288360596
12,Metro,3.635327738372206,1.634492675423805,32.70487114573254,4.637188196182251
13,Metro,4.508689539569116,1.668999831969278,31.875028130706493,4.837785005569458
14,Metro,5.597433552556623,1.6756342181978179,31.618141896205938,4.83031153678894
15,Metro,6.728213620182774,1.6688938295639313,31.90878765348206,4.951321363449097
16,Metro,7.9580255867207494,1.643136543272257,32.510400866976845,4.657154083251953
17,Metro,8.52721941136077,1.643288426414274,32.41384635526349,4.831703186035156
18,Metro,4.509959350477992,1.603149382989499,33.693058381288054,4.715837717056274
19,Metro,4.760666126692859,1.6025870270920566,33.50507590157985,4.717219114303589
20,Metro,10.007538221957327,1.6422235493658428,32.47041967811793,5.02437949180603
