mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.05412771256976725,1.0054643698629115,2828.948861577308,7.093639850616455
6,DEMetro,0.04962605501186715,1.0084870608027026,1600.0755402200832,7.421384334564209
7,DEMetro,0.11137585989331053,1.0128484713419932,1164.4051611779767,7.084733724594116
8,DEMetro,0.3659088122652392,1.0265101762409088,777.3380935660633,6.938291788101196
9,DEMetro,0.058793397778311385,1.040441148436114,498.9937162364528,6.940155744552612
10,DEMetro,0.3434876680337391,1.1171305540121794,142.71532961166898,7.925653696060181
11,DEMetro,0.12452292386648715,1.2178570170157133,68.63515432620405,7.007230997085571
12,DEMetro,0.8995832184606709,1.3981439079670814,43.015338683679374,6.8372931480407715
13,DEMetro,0.9392162343481079,1.3561125724111596,47.9682119766801,6.8083977699279785
14,DEMetro,2.211044895782856,1.4122470791851476,42.53036506710644,6.870604038238525
15,DEMetro,0.5943772387083308,1.492920614404033,37.31921182098435,6.9218151569366455
16,DEMetro,1.4940914531705598,1.6533569806360295,32.27481343486831,7.326343297958374
17,DEMetro,0.025819836456231825,1.6853463977001,31.817682811922044,7.216622591018677
18,DEMetro,0.1724635971161147,1.6617705575147645,32.53098931812246,7.628493547439575
19,DEMetro,0.10039977278660214,1.6857969610083317,31.55391437128874,7.073095798492432
20,DEMetro,0.02719157527460289,1.6921546930836018,31.827564611680636,7.126949787139893
