mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.056460738888429264,1.0152353237753606,1336.839535769387,5.8673930168151855
6,HMC,0.16883832942202243,1.0368898584201793,434.62744887114366,5.997178077697754
7,HMC,0.3128763007166314,1.0992872447973496,124.14005632476321,5.63306450843811
8,HMC,0.8038545882904942,1.327153353391629,47.54263073189707,5.661614656448364
9,HMC,2.28149411281112,1.583305013610561,33.854621052293794,5.750216245651245
10,HMC,4.017624767342746,1.674454360186809,31.604646882873052,5.668703317642212
11,HMC,4.385424059001439,1.6747165664216608,31.650865652242757,6.023679494857788
12,HMC,4.808616202216241,1.674658924615332,31.677631164423012,5.706783056259155
13,HMC,5.163557141827566,1.675726379283491,31.629204248609234,5.657648324966431
14,HMC,5.6099584803135825,1.6749118922964936,31.62936710872703,5.611375570297241
15,HMC,5.991782890297971,1.675420083824271,31.588396770389235,5.655682325363159
16,HMC,6.35824779549997,1.6754460162445233,31.562314229658387,5.853561639785767
17,HMC,6.8131408074971045,1.6752390030728372,31.596102767742682,5.873806476593018
18,HMC,7.20814578020732,1.674724386952871,31.62498359079,5.660038471221924
19,HMC,7.617648817598031,1.6757078159190548,31.667773984299373,5.630708456039429
20,HMC,8.007806859218082,1.67579840291645,31.665084029862605,5.62890362739563
