mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.022197047421943072,1.008915990989677,2272.7177599670367,4.42621111869812
6,Metro,0.06591931140228871,1.0127384606633396,1679.774573952031,4.420939922332764
7,Metro,0.02515848780689397,1.0155115744952228,1022.1761995304674,4.48253607749939
8,Metro,0.12214529723444575,1.0286257586970138,562.254164433216,4.51042628288269
9,Metro,0.0926758901863867,1.1077555953082285,121.95919559075749,4.637026786804199
10,Metro,1.3350254919978841,1.3834108972561172,43.462854736420745,4.442549467086792
11,Metro,2.8321164218742814,1.5912476262938113,33.844537615534016,4.5283567905426025
12,Metro,4.637856872739052,1.6432964140642479,32.43828949281483,4.339911222457886
13,Metro,4.975070319100187,1.6420134125741024,32.426966095974535,4.446237564086914
14,Metro,5.606527452081398,1.6771305061161492,31.689276528059118,4.614819288253784
15,Metro,5.989792481718809,1.6771305061161492,31.689276528059118,4.499022483825684
16,Metro,6.353604905429667,1.6771305061161492,31.689276528059118,4.441753625869751
17,Metro,6.817210258892454,1.6771305061161492,31.689276528059118,4.488764524459839
18,Metro,7.210084933992073,1.6771305061161492,31.689276528059118,4.407715082168579
19,Metro,7.623073757094039,1.6771305061161492,31.689276528059118,4.709416389465332
20,Metro,8.01312764660857,1.6771305061161492,31.689276528059118,4.641708135604858
