mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.023750175165147637,1.0083672933427672,2606.0620740123118,7.1111133098602295
6,DEMetro,0.09849976162923216,1.0104672243948054,1732.4576784556787,7.2508955001831055
7,DEMetro,0.044502465750508105,1.02220562067756,1185.486820137681,6.60129451751709
8,DEMetro,0.1605084728976511,1.0229142190802725,743.9077547272715,6.7860517501831055
9,DEMetro,0.10099966545322532,1.0509943149950658,345.9919987529948,6.663186550140381
10,DEMetro,0.0404946748747826,1.0884893110857734,138.2648036553177,6.564223289489746
11,DEMetro,0.35153674999144874,1.09096698452413,137.57675443380836,6.800544500350952
12,DEMetro,0.6091309113234897,1.208289407146806,71.37210377435169,7.568584680557251
13,DEMetro,0.5293699804142489,1.2167758456616438,64.4120477897871,6.960460662841797
14,DEMetro,0.901636442276533,1.3035563355925905,51.63991251051365,6.984460830688477
15,DEMetro,3.2082627920085387,1.4969058028677187,37.19242353862506,6.7762229442596436
16,DEMetro,2.899410332037015,1.4396937572644333,39.591925397341996,6.720203399658203
17,DEMetro,4.014771005384983,1.5616895469125347,35.00917707692723,7.565685987472534
18,DEMetro,7.246663142321593,1.6868904537975395,31.573048106050376,6.942676305770874
19,DEMetro,6.753438711398317,1.6682680163524286,31.99613578714784,7.065417051315308
20,DEMetro,8.006103537825119,1.6929735799282453,31.759875521441487,6.580886602401733
