mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.059459327230229085,1.0099447806417876,1931.907906833908,4.606775817871093,0.03451060658112134,0.0026336640268007586,177.95434672748377,0.09119207139770377
6,0.0815368850541895,1.0202725732357467,1019.4028976078938,4.675950846672058,0.0381417252585201,0.004593499400998849,166.1429870827123,0.41183854498513633
7,0.12991399943428886,1.036493223187932,494.53306367741993,4.746911449432373,0.09904385339777942,0.009851396809861867,125.15942676797064,0.13413993464533944
8,0.2271663107216452,1.0878774283872237,182.42027397492618,4.808937706947327,0.19681080242351606,0.0266703954118128,79.42919547160224,0.10855040782889858
9,0.4135474352440751,1.2063521978908482,73.60374171261665,4.6440807676315305,0.37910166202782464,0.05821755634248169,16.863863649726827,0.09490789170589727
10,1.1839604086793252,1.3795852737781436,45.284955356699626,4.6375603771209715,0.7439927192364526,0.08492054685503188,7.58015271225508,0.07995050656107638
11,2.2382437973219624,1.5486580683030655,35.27520696992697,4.619761257171631,0.7811917142022319,0.052989496775070484,1.9530507220860354,0.07368968357504903
12,3.327624133019126,1.6425173636045018,32.44520661707051,4.686154804229736,0.5903769534800835,0.035377811919214366,0.8904967201101657,0.13806899026422279
13,3.704850689692547,1.670440142753146,31.809706191776872,4.813859639167785,0.3496415304414928,0.012610731819631488,0.2614257128692899,0.1398958180534344
14,4.227032841433609,1.6758054866478533,31.69643825835591,4.633968238830566,0.23218524560521253,0.00785707164105507,0.16066321807415232,0.08402810764756664
15,4.487762844691994,1.6772543019318815,31.668228730415848,4.624352669715881,0.17187749920169593,0.0055808909637088166,0.12192197241630291,0.07966515519898086
16,4.737663084303765,1.6781660284780406,31.65206126971815,4.602560505867005,0.11198970406244374,0.0019690824648348547,0.06909583007399595,0.08201706548412092
17,5.0814516453269265,1.678332572875742,31.64851543125017,4.671519341468811,0.016329782600324833,0.001481374721848389,0.06756180617206932,0.14309351394371453
18,5.384679137567205,1.678332572875742,31.64851543125017,4.799242582321167,0.016335385428730077,0.001481374721848389,0.06756180617206932,0.12182063576221988
19,5.742793412348424,1.678332572875742,31.64851543125017,4.638255734443664,0.016330531448313437,0.001481374721848389,0.06756180617206932,0.08579398527005536
20,6.0337965720473905,1.678332572875742,31.64851543125017,4.623807010650634,0.01633073991286992,0.001481374721848389,0.06756180617206932,0.07547504390183493
