mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.0782887381729899,1.0097221028319574,1809.054602439839,4.523633241653442
6,Metro,0.07370655744549409,1.020272191437742,1064.9205897329323,4.529303073883057
7,Metro,0.23091947353293815,1.0448233554103359,348.8217059300789,4.862061977386475
8,Metro,0.23704228948083617,1.0737556702415307,188.39144656150626,4.809388637542725
9,Metro,0.3566709321992976,1.196073411646202,70.56222791329043,4.621020317077637
10,Metro,0.6846876731366522,1.335992985524437,47.866503103103426,4.48843789100647
11,Metro,1.9071892767677212,1.5464877057583124,34.97470167815833,4.578234434127808
12,Metro,4.0729570875799155,1.6391365387519485,32.45311469855605,4.6148436069488525
13,Metro,4.291150442484264,1.6411685869371164,32.38681619879828,4.9811484813690186
14,Metro,4.751793654219972,1.6388323144877008,32.44700938104424,4.739995956420898
15,Metro,5.030037528221984,1.6413823346530956,32.39371638311385,4.582279443740845
16,Metro,4.745118916429538,1.6790431612969476,31.744030658134314,4.519891023635864
17,Metro,5.104899824417323,1.6790431612969476,31.744030658134314,4.531085729598999
18,Metro,5.408173704560016,1.6790431612969476,31.744030658134314,4.933962345123291
19,Metro,5.766282573994208,1.6790431612969476,31.744030658134314,4.642419099807739
20,Metro,6.057298973181636,1.6790431612969476,31.744030658134314,4.673312664031982
