mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.03438980116521014,1.0113895453230963,2010.8896881525768,7.352774381637573
6,DEMetro,0.1603450343456918,1.0134387756741243,1893.0538535821206,7.077019691467285
7,DEMetro,0.24696843781655375,1.024510177631112,1200.341190941535,6.861800909042358
8,DEMetro,0.10012695252834558,1.0316825862756986,747.1735215997206,6.924437522888184
9,DEMetro,0.30423636187489544,1.05502044893034,336.6220182897111,6.990042686462402
10,DEMetro,0.06253992224787762,1.0857968681422892,186.17657978374453,7.860898971557617
11,DEMetro,0.056536783922094734,1.2131076418984765,69.3701509197567,7.120211839675903
12,DEMetro,1.4681379893242497,1.2539667900801834,64.11561708839591,6.836666584014893
13,DEMetro,0.07316145998729803,1.3490237119344615,45.97219574925963,6.837154388427734
14,DEMetro,0.4902963310552851,1.4043327654292705,41.81137121002854,7.133734464645386
15,DEMetro,2.036919934785692,1.505622245110497,36.9213142056476,7.720909118652344
16,DEMetro,6.177567627303942,1.6087920853005637,33.22036120818953,6.78612494468689
17,DEMetro,3.9356260732360697,1.6479410592459967,32.541599192725556,7.0207602977752686
18,DEMetro,5.388447809823932,1.683805101011881,31.892051149493327,7.018626928329468
19,DEMetro,5.711733676142463,1.684611075676502,31.535630766272746,7.274198055267334
20,DEMetro,6.064637819330541,1.6846127237433808,31.53639650817502,7.875189781188965
