mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.205651783266478,1.040203362828542,443.2783102635025,6.036898136138916
6,HMC,0.7009049041333111,1.158281675232657,89.3979317640459,5.862483739852905
7,HMC,0.7654282959757219,1.1974024200227176,70.66878145807704,5.913459300994873
8,HMC,0.2755842898274552,1.4809993346460222,37.61093439368054,5.888431787490845
9,HMC,0.47250085606296344,1.5818404459844557,33.85546085713048,6.151293992996216
10,HMC,2.016533603083836,1.6737032978897608,31.659103371605745,6.0721540451049805
11,HMC,2.156089268109458,1.675295380451659,31.621856341758676,5.911312818527222
12,HMC,1.7843634750548745,1.665866218129226,31.89963249512862,5.914779901504517
13,HMC,1.8829382578900589,1.664810036098426,31.758429517223988,5.9363884925842285
14,HMC,2.8400206406824653,1.6733633611281875,31.59774929123362,6.178789377212524
15,HMC,2.9876309259711245,1.6732544270987548,31.541935311393406,5.9518821239471436
16,HMC,3.112153974372136,1.672860641558319,31.55543744239081,5.788577556610107
17,HMC,3.379103385830695,1.6732984044466952,31.614847453720984,5.879696369171143
18,HMC,3.5942106362723876,1.67393999511715,31.559183990518555,6.027035236358643
19,HMC,3.808865786667815,1.6744466577483148,31.643018161548294,6.187252998352051
20,HMC,4.087401275135658,1.6744873319171651,31.584050329701707,5.825443983078003
