mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.0856300536098897,1.012521879604334,2445.009459491935,6.933726787567139
6,DEMetro,0.21342016986669013,1.0196472044521978,1698.2598175372666,7.334968566894531
7,DEMetro,0.26950954642542985,1.0186334869437388,1094.7091380621155,6.979944467544556
8,DEMetro,0.15534540009026176,1.0316036968698707,655.3980313768332,6.893480539321899
9,DEMetro,0.30466037805119106,1.0795512265995972,243.23962691344835,7.160072565078735
10,DEMetro,0.3773175702823883,1.1313280304237245,107.72565635859252,6.838615894317627
11,DEMetro,0.7013652466324407,1.1643259751567678,91.00202202785002,7.6398022174835205
12,DEMetro,1.7967804561818426,1.1695136627268328,78.0560850246418,6.848480939865112
13,DEMetro,0.04490311056323466,1.3854717047791953,43.21836777137581,6.774747848510742
14,DEMetro,0.9340987863253811,1.4620370861095509,39.827964725806126,6.836251258850098
15,DEMetro,0.37111007454601647,1.519624411199347,36.99247897624201,6.678460359573364
16,DEMetro,3.0039419850360454,1.5871543134003985,33.73575955039889,7.741733551025391
17,DEMetro,2.8203978433158934,1.6473752524242953,32.3103243567123,7.026768922805786
18,DEMetro,2.6749865304893206,1.6859386773340068,31.708142774692547,7.199126720428467
19,DEMetro,3.7718193180965196,1.6894750519138242,31.546558109150936,7.098252773284912
20,DEMetro,4.078724232676508,1.688516784329257,31.468913220784007,7.091547012329102
