mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.02826433985301686,1.0058341763233312,1872.1821594870673,4.831909656524658
6,Metro,0.07933856558519313,1.0170894372362236,888.7260660618933,4.796825885772705
7,Metro,0.22845986527052536,1.0477682406502018,316.8303067542911,4.665576934814453
8,Metro,0.11388569695793556,1.1315749190502224,112.90323841752675,4.880297660827637
9,Metro,1.10165484358967,1.3762677011010418,44.17605769048215,4.848486423492432
10,Metro,1.0066740137550885,1.5251991988912181,36.72575817588263,4.659305810928345
11,Metro,2.0821353130857423,1.6122128709156933,33.17504573544617,4.676786184310913
12,Metro,2.382620851628579,1.6784909072863512,31.54715635842361,4.62335205078125
13,Metro,2.5220316884558125,1.6785924434036248,31.542661511385944,4.854068040847778
14,Metro,3.5291099433275512,1.6696284107187513,31.747956892767906,4.8234217166900635
15,Metro,3.726329934055845,1.6694348923795153,31.74101526985352,4.518359899520874
16,Metro,3.893632690540236,1.669134583354539,31.767903956547052,4.715484142303467
17,Metro,3.3664941805707116,1.677461803239598,31.590612033148002,4.734084129333496
18,Metro,3.5748255600605177,1.677461803239598,31.590612033148002,4.880239725112915
19,Metro,3.7800335353038528,1.677461803239598,31.590612033148002,4.902994394302368
20,Metro,4.050710301529276,1.677461803239598,31.590612033148002,4.607932806015015
