mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.058765026571915846,1.0068437645497543,2537.3804788903726,6.826585531234741
6,DEMetro,0.06510152014451587,1.0112355240329658,1593.4241409228148,7.129395246505737
7,DEMetro,0.08918680899257635,1.0159514918090133,1137.887730890546,7.130656480789185
8,DEMetro,0.16586539144662865,1.037545117240018,560.7310208412612,6.910759449005127
9,DEMetro,0.7890870747688367,1.0502615243781577,424.5989403226,7.866312503814697
10,DEMetro,0.08861856289175736,1.0982236132490997,163.6561801447369,6.975387096405029
11,DEMetro,0.03980046686799012,1.171823792770144,81.6656591094192,7.111590147018433
12,DEMetro,0.23244635557139617,1.2904474482215045,55.96406267740086,6.784711599349976
13,DEMetro,0.8881584241195665,1.3248049812892315,48.2963432257895,6.843043327331543
14,DEMetro,0.5698286445473528,1.4796761866882215,39.01799210940736,6.972797632217407
15,DEMetro,0.27032292454614537,1.5600184694445451,34.75425951824896,6.97205662727356
16,DEMetro,1.9341267467735506,1.577548026042469,35.352679365199066,7.356348037719727
17,DEMetro,1.6775190603590708,1.6546966844756625,32.36425003348217,8.123707056045532
18,DEMetro,1.7628947406116324,1.6548105784232403,32.246154728799624,6.735916614532471
19,DEMetro,0.9906119751568461,1.6813105811719364,31.621910581175715,7.155866384506226
20,DEMetro,3.00536660609073,1.6135052067084135,33.50294455434175,7.099693298339844
