mu,global_avg_wasserstein_distance,global_avg_r_hat,global_avg_ess,global_avg_runtime,global_avg_wasserstein_distance_std,global_avg_r_hat_std,global_avg_ess_std,global_avg_runtime_std
5,0.0677693015023198,1.0163975508422682,1263.8483863712195,6.034876523017883,0.05637513517687218,0.004473388701778687,298.3038536152213,0.8895063386417159
6,0.10429440121217283,1.0454851202566546,437.10368183629487,5.890845823287964,0.07578590440507368,0.02028173677666857,214.06612001651578,0.12825252128172018
7,0.19901104481231197,1.1136097015806135,145.25075834984685,5.8397928857803345,0.14634821028566314,0.04411375840767717,104.2976973571382,0.12071054268648615
8,0.5018795098048107,1.2227276528310063,272.11599236820126,5.831361103057861,0.30719260972761564,0.11750677229893125,1220.0908724912576,0.107752041377364
9,0.5947807060637602,1.2934073519872618,230.91438088585824,5.794346776008606,0.47331129833217994,0.12555153111333825,1219.7306814184985,0.10268200634966732
10,0.6856613144261182,1.314498315183949,571.2400516014541,5.834122099876404,0.5531443425187774,0.13105221868921632,2079.654210981144,0.1356424631955473
11,0.7499709533236796,1.3040189778031754,583.6012071004311,5.824582910537719,0.6329702750339072,0.1390772466742336,2118.3836423689045,0.14123782868711726
12,0.6965129569915789,1.2978026232231343,380.52298284107724,5.8553361988067625,0.6343906458293131,0.12149988165393094,1612.6383820696142,0.12977305076063328
13,0.8335535428856515,1.3035396668752863,402.67493503930126,5.82179093837738,0.8020238888473202,0.13488484529095712,1720.1305710494419,0.127987221191918
14,0.835779365824295,1.2848360280725715,565.3488055797786,5.851887593269348,0.7785960156874284,0.13401951860145422,2034.97060847146,0.13543731408039827
15,0.917535701786391,1.2630059675518133,743.4512199220039,5.8162569284439085,0.6737856468129824,0.13679102611718597,2340.8726993983755,0.12389827069426372
16,0.9028094169713483,1.2554846232538592,736.9448059695231,5.836267142295838,0.5968168383455619,0.127966601402244,2314.3083981377004,0.14264066711898568
17,0.9774618855080316,1.2459284085869746,739.5335879242973,5.808627133369446,0.6378202402703457,0.13014749532017802,2313.954934835982,0.13248338343585706
18,0.9781522275097635,1.2142455582677238,1567.6980349544456,5.80558934211731,0.7795102506939481,0.1385916927889061,3244.167251470292,0.11160883396116993
19,0.9017147348735306,1.2026120111191725,1620.4304033336664,5.832587399482727,0.7850190058068809,0.12637735462380256,3355.796258110789,0.11806917570149454
20,1.1243310002073388,1.204157889509366,1430.1792327497044,5.799149327278137,0.6793633704806756,0.13047056004425014,3154.4246211126065,0.1094545695168733
