mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.05821857525569415,1.0097200479458965,2132.1460813901654,4.387959241867065
6,Metro,0.02459280722989987,1.0089499388047891,1536.5251547684468,4.426756381988525
7,Metro,0.055562247004141474,1.02510708799612,784.4586682754766,4.3436198234558105
8,Metro,0.3692826544005866,1.0267526916061451,742.7978460606445,4.672456741333008
9,Metro,0.23053462506777866,1.0852419108658438,152.05679076153635,4.852340221405029
10,Metro,1.2117329911085963,1.3018587128808237,50.27164949866828,4.434200048446655
11,Metro,3.714655288683397,1.583658693984843,33.91511453098815,4.496846914291382
12,Metro,4.821527480472572,1.682595632286204,31.70892635929919,4.371673583984375
13,Metro,5.829999104758905,1.6710091724795986,31.825257881970874,4.486649036407471
14,Metro,6.326173923069872,1.6726779682485475,31.751826178474335,4.711588621139526
15,Metro,6.759793321850777,1.6727384605493203,31.773433453064417,4.492486238479614
16,Metro,7.17427110821666,1.6727702471820998,31.764972701267173,4.445786237716675
17,Metro,7.683057841076126,1.671169382188497,31.94274013582969,4.519681692123413
18,Metro,8.131806898118104,1.6715821449942623,31.87998147074769,4.538423776626587
19,Metro,8.592415778200484,1.6723204763994297,31.86658958074334,4.677375793457031
20,Metro,9.038572830438696,1.6717048864032102,31.846785931171098,4.689774036407471
