mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.038690380844044275,1.0083724459697825,2399.0827473550257,6.7722837924957275
6,DEMetro,0.03396037665890406,1.0121806062402072,1641.3052674107616,7.051567554473877
7,DEMetro,0.1765304941761813,1.0137917659747817,1225.280772544848,7.021036863327026
8,DEMetro,0.21180779783017756,1.0319793154546246,601.877320102791,6.79985237121582
9,DEMetro,0.18318154250078997,1.0460703658566313,403.4409173646119,7.134963035583496
10,DEMetro,0.3830953671917327,1.0875774100962923,158.01585681334333,6.942479848861694
11,DEMetro,0.3901568988201604,1.1145092395875131,117.27635241654019,6.88210129737854
12,DEMetro,0.6741778713513037,1.2665820086187862,55.100266066741156,6.774786949157715
13,DEMetro,1.837310015200956,1.373716332991119,44.52855288125174,7.1570143699646
14,DEMetro,0.700318427150345,1.14331145723647,93.85410396311673,7.618168830871582
15,DEMetro,1.5239230730947397,1.4099643490588836,41.92529645765994,6.7256646156311035
16,DEMetro,1.7104677010320741,1.3570530493175015,45.24852581014854,6.814911603927612
17,DEMetro,3.3707469612425847,1.5430724313335853,35.940419888616276,6.632291316986084
18,DEMetro,8.998609101817205,1.652331832573024,32.309194735856124,6.976415634155273
19,DEMetro,5.702398107033476,1.6498665819948268,32.529149878112115,7.833987236022949
20,DEMetro,7.9639161968733845,1.6899640470957233,31.62481602825303,6.966903448104858
