mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.03228815073266936,1.0083099328093885,2044.3586202689526,4.831965923309326
6,Metro,0.12901035683574477,1.020329159554336,1159.6250224114706,5.0554070472717285
7,Metro,0.037698318131695614,1.0411764496054106,374.5426571005565,5.437070369720459
8,Metro,0.30402963614000383,1.0597231066334671,228.0005823017321,5.058906316757202
9,Metro,0.18137929676421471,1.1440849334072418,98.62311507201227,5.239470958709717
10,Metro,1.369875896268906,1.4084386760844636,42.143674407254345,4.923319101333618
11,Metro,2.4084290770532517,1.5351013310536104,35.42511663684919,4.705152750015259
12,Metro,2.456112099063181,1.5813412832799691,34.02661228453516,4.983644008636475
13,Metro,3.1512938642515254,1.6706924257718199,31.97574867780207,4.729589223861694
14,Metro,4.22358284461741,1.678933980949344,31.75850269115676,4.7118494510650635
15,Metro,4.466493759848278,1.678933980949344,31.75850269115676,4.764768123626709
16,Metro,4.711039337975063,1.678933980949344,31.75850269115676,4.6970789432525635
17,Metro,5.070761159948831,1.678933980949344,31.75850269115676,4.875755071640015
18,Metro,5.374031469051743,1.678933980949344,31.75850269115676,5.0142388343811035
19,Metro,5.732177337881703,1.678933980949344,31.75850269115676,4.557631731033325
20,Metro,6.0232005318853075,1.678933980949344,31.75850269115676,5.247907638549805
