mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.10985337950708318,1.0207174733619033,686.2665183558402,6.048748254776001
6,HMC,0.18168884396483764,1.0908407213549134,157.65173438735235,6.104590177536011
7,HMC,0.22952175053152107,1.2912638619899715,52.05575746447246,6.191126585006714
8,HMC,0.3489034264277813,1.39639631560341,42.67235068227528,5.968752384185791
9,HMC,1.2855007572609916,1.6685936443182425,31.85803894821667,6.120557546615601
10,HMC,1.0205606585495708,1.6408475766930395,32.36428121034712,6.4204676151275635
11,HMC,2.1676468045941872,1.6758689503968676,31.560501148663562,6.034071207046509
12,HMC,2.3936688902635046,1.676431912610276,31.491275190752674,6.016782999038696
13,HMC,3.1855601416152766,1.668282693022287,31.70723472625571,5.879128694534302
14,HMC,2.8509816046232412,1.6754143668109336,31.563485609545786,6.097806453704834
15,HMC,2.9982003402640265,1.6755795955394028,31.542832508073626,6.195663213729858
16,HMC,3.111809718794075,1.6752965632917498,31.565350007165264,5.928063154220581
17,HMC,3.383280641456319,1.6744549032149483,31.54302531145069,5.952098846435547
18,HMC,3.597890838002857,1.6742631626407605,31.621761463425255,6.11667537689209
19,HMC,3.7946552227116386,1.6741207835179837,31.62015546619266,5.963605880737305
20,HMC,4.068884783682271,1.6745649693025673,31.576231512803748,6.10749363899231
