mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.06124915166344941,1.0113786283652815,1809.3314035660057,4.623465538024902
6,Metro,0.04662281564520379,1.026941701181255,757.046963208733,4.67074728012085
7,Metro,0.08184353747732942,1.0437385520423454,417.8366590758093,4.648111820220947
8,Metro,0.33797272420512975,1.1538875124287011,94.30164752375346,4.7193381786346436
9,Metro,0.33593322458675906,1.4256580568734234,40.84182458026567,4.994183778762817
10,Metro,1.4753876853621852,1.3395242508916896,47.44662757492115,4.9246580600738525
11,Metro,1.6196104473076507,1.4924727569349336,37.03901723846331,4.855445623397827
12,Metro,1.7697413082103925,1.6038436571259627,33.42660725647872,4.782740354537964
13,Metro,1.9592497117284566,1.6037418342680159,33.40970733194385,4.642367601394653
14,Metro,2.097644673791009,1.6034561906014149,33.50206606867212,4.5320985317230225
15,Metro,2.2720575248090786,1.6035407842048486,33.42121895621566,4.664587736129761
16,Metro,2.2848842143413037,1.6032236770759087,33.42363747510467,4.721155643463135
17,Metro,2.568941655275082,1.602834312028424,33.51021700212584,4.793234348297119
18,Metro,2.67479898701274,1.6024559784501378,33.409967469879504,4.705613374710083
19,Metro,2.8223939095602146,1.60395388043263,33.333493720430965,4.8368940353393555
20,Metro,3.0085162868650106,1.603526906514999,33.37378381779513,4.723276138305664
