mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.1369341475297767,1.0075586918135755,2606.7371768500907,6.774076223373413
6,DEMetro,0.11652926334634077,1.0092101854483901,1968.040521846921,7.01716160774231
7,DEMetro,0.08527111231968702,1.0198062043168405,1160.102924365496,7.088050127029419
8,DEMetro,0.1774817670017125,1.03610966118229,556.0037377077008,7.359364032745361
9,DEMetro,0.05701824972173576,1.0547138313492546,294.9172585702557,7.444902420043945
10,DEMetro,0.34409762900673546,1.070742957838574,221.08982351810903,6.98830509185791
11,DEMetro,0.8325894624494836,1.1493919462746534,96.03822911837518,6.912317276000977
12,DEMetro,0.17515088091458475,1.3070239336303315,54.04648094546785,7.02750301361084
13,DEMetro,0.7577867690506469,1.3903696751013965,43.88727073458262,7.337116241455078
14,DEMetro,1.6774893762951675,1.519854166564437,36.61668796614312,7.355865716934204
15,DEMetro,0.5052819039085379,1.5556888341957138,35.26782914770287,6.836239576339722
16,DEMetro,0.6428109932417833,1.6252826823038131,33.00003598665269,7.271831035614014
17,DEMetro,1.6571397140752366,1.6473773806148677,32.38586819564011,7.266034364700317
18,DEMetro,0.056970309728992044,1.6894629065678077,31.6368890882762,6.997100830078125
19,DEMetro,1.0080408743154343,1.690760992609718,31.56241499404335,7.101495981216431
20,DEMetro,0.9796456030156213,1.6871980482551354,31.605566265359737,7.087263584136963
