mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.03303804573668871,1.0260420729819295,545.2707342823912,5.973994493484497
6,HMC,0.15369574146436954,1.0718472595929616,194.17500836152314,6.300391435623169
7,HMC,0.7479827645631241,1.2308224554599372,64.34194339096425,6.350341320037842
8,HMC,0.7019116912580508,1.4975024756755873,36.879729738931694,6.2386438846588135
9,HMC,1.3891972624898135,1.6010534117802597,33.42814413621183,6.040914058685303
10,HMC,0.44686551353973225,1.6659249642093286,31.752972829639624,5.908313035964966
11,HMC,0.051173862371896084,1.6757502640789321,31.533503563104002,6.053743362426758
12,HMC,0.055343078332179066,1.6753872036607034,31.613423723106862,5.9479382038116455
13,HMC,0.6592249602783822,1.6683801234097093,31.80317971738747,5.9226062297821045
14,HMC,0.7196305872524822,1.6652433862601825,31.845404822574476,6.147212266921997
15,HMC,0.7644762735208867,1.667659424053623,31.76853636114495,6.203691720962524
16,HMC,0.912378573298154,1.6650211497731,31.883234557790935,6.149923086166382
17,HMC,0.021119247969769744,1.674742697850563,31.635423337437096,5.954575300216675
18,HMC,0.042645226126790954,1.6767167825069718,31.609376621172036,6.0185487270355225
19,HMC,0.9832994510583806,1.6655569627725895,31.81178827420302,5.963603973388672
20,HMC,1.0094995937291127,1.665244229209838,31.89765924514193,6.015986442565918
