mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.04240507090239174,1.0091579457334385,2325.22419764087,4.643414735794067
6,Metro,0.1458228408816154,1.0157533898033722,1008.674260774914,4.4875807762146
7,Metro,0.12638647237755346,1.023230468785895,742.5162159503328,4.721647262573242
8,Metro,0.14039560042978302,1.053131410885545,280.2465067332025,4.6716697216033936
9,Metro,0.2985131282349264,1.1471811650171195,97.40962403029349,4.546645164489746
10,Metro,0.344440115608928,1.1728901976513764,77.72803632135664,4.753460884094238
11,Metro,1.033681736344423,1.3709551187559177,43.8239983308209,4.638617515563965
12,Metro,1.78660430510758,1.486671153089703,37.48365397320114,4.814117193222046
13,Metro,1.8886806901217246,1.4876361870727315,37.41776769845308,4.562446117401123
14,Metro,2.0869122563685547,1.4861598053481582,37.567836167811436,4.450238943099976
15,Metro,2.2089301778693793,1.4867980866881703,37.598620232521775,4.570305824279785
16,Metro,2.3379989374199996,1.4867409019688695,37.62340572183852,4.516629934310913
17,Metro,2.5446566348981445,1.4869726092130884,37.39505479908602,4.768649339675903
18,Metro,2.693977763511293,1.48663246220751,37.57319296500427,4.531171083450317
19,Metro,2.8442541885519406,1.486964097725739,37.551043386397325,4.597521066665649
20,Metro,2.99308657383847,1.486688041953469,37.39223422717766,4.602858543395996
