mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.07461889270796106,1.0063241539454486,2556.8513685170265,7.057787179946899
6,DEMetro,0.03591844623246153,1.0073772592172228,2105.9899149856305,7.133484601974487
7,DEMetro,0.05324908727287292,1.015157267196856,1267.3532268482904,7.128178596496582
8,DEMetro,0.19587795548030723,1.0149948356363667,1293.3483637965983,7.106841802597046
9,DEMetro,0.03814371915293874,1.0374953861270764,400.4772861931183,7.48152232170105
10,DEMetro,0.47293954598187343,1.1189884352576636,130.35228113480227,6.681609392166138
11,DEMetro,0.296556755674559,1.093595915448206,140.1857077953724,7.138382196426392
12,DEMetro,0.0822980316517268,1.1971038420446392,69.3037556255924,6.765624046325684
13,DEMetro,1.2934934837477678,1.3140750947155717,52.17813275299393,6.843830585479736
14,DEMetro,1.6303642289019553,1.4211399872547166,41.920609311928736,7.89948844909668
15,DEMetro,1.5620991567124063,1.4144882535201493,41.111585903806194,7.0396387577056885
16,DEMetro,5.670549387315525,1.602550125011474,34.09595931805925,6.984879970550537
17,DEMetro,5.111458115580849,1.651478410384635,32.39976220173434,6.927506923675537
18,DEMetro,9.924136032801037,1.6074480531172877,33.44283277988465,7.005922555923462
19,DEMetro,6.720242191636825,1.6834389602271818,31.862523668301055,6.70684027671814
20,DEMetro,9.003063340809698,1.673455519652098,31.950449417188214,6.92985200881958
