mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.0873400834751554,1.0070135204370512,2513.617567750999,7.08137845993042
6,DEMetro,0.09398870813226887,1.007445859882252,1894.3104660053475,6.821869373321533
7,DEMetro,0.09524418642971877,1.02449108547616,1045.1259467859795,6.857578277587891
8,DEMetro,0.0854434042462986,1.0409878245768995,875.5450059386593,6.938015937805176
9,DEMetro,0.3453667768840001,1.0543402741119576,429.02858979717234,6.953975200653076
10,DEMetro,0.1933374318114967,1.0848657816686367,171.72440199879335,6.953456878662109
11,DEMetro,0.4875406387038753,1.1417131742581923,105.92009604442438,6.799717664718628
12,DEMetro,0.6783108164160072,1.36554853855151,49.35989014221369,7.071162939071655
13,DEMetro,1.1675111388053545,1.3881298421940926,45.348077735076046,7.243663549423218
14,DEMetro,1.4771902053247827,1.4630853355041618,40.42792464768962,7.287189483642578
15,DEMetro,1.4577164781746874,1.5864768151511204,35.54874650112903,7.115938186645508
16,DEMetro,1.1042870777059577,1.6622261844192001,32.44464948529677,6.659332990646362
17,DEMetro,3.4177882869809557,1.5559856794939748,35.51740919038287,6.756362676620483
18,DEMetro,1.8120897720827513,1.65721545234329,32.53615727277578,7.133527040481567
19,DEMetro,0.93687716407477,1.680568793000096,31.864541199617683,7.313433647155762
20,DEMetro,1.0480954773495543,1.6872219057283366,31.605313352477726,6.675623178482056
