mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.07691119525330067,1.015198739666924,1911.8896994500224,4.452063322067261
6,Metro,0.03219002023164047,1.0417581560713443,427.85124737695145,4.511614084243774
7,Metro,0.04618594288382685,1.0541236660446685,284.3112944899954,4.749747037887573
8,Metro,0.17381160894979308,1.1768255286471192,77.22131508404772,4.605671405792236
9,Metro,0.3020841093855463,1.2519629035145168,58.89005568945034,4.595584154129028
10,Metro,0.12158211273344728,1.4654232026060585,38.42718872364208,4.654778718948364
11,Metro,0.6485833471081437,1.601295737340848,33.531084014404044,4.811860799789429
12,Metro,0.2929178228465784,1.6599285378264947,31.970619915220837,4.816436529159546
13,Metro,0.0255758390102948,1.6768081286565537,31.716981425826912,4.611752986907959
14,Metro,0.04816308708931414,1.6786082706059993,31.703386065469775,4.521918296813965
15,Metro,0.03413736578384456,1.6769351965820378,31.775650877600704,4.656601190567017
16,Metro,0.14438221757703484,1.6762416897221872,31.688246566399332,4.577821731567383
17,Metro,0.028821632738867915,1.6763108128935316,31.851360716105884,4.852341890335083
18,Metro,0.05402302923717976,1.677169828510378,31.70580805970659,4.527196407318115
19,Metro,0.06820381725094951,1.6782785013096984,31.675975943622365,4.490923166275024
20,Metro,0.03198795163829604,1.6781823650748295,31.755744014374645,4.560671091079712
