mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.030375700041861582,1.0692546869104758,208.67369311283238,5.939154148101807
6,HMC,0.3232716529932284,1.0952217099745523,153.5233350885377,6.056066274642944
7,HMC,0.8989933385543498,1.3603627666160212,45.1273574865544,5.895490407943726
8,HMC,0.5785807218565723,1.4853652307187197,37.53410441023571,5.90367865562439
9,HMC,0.5012253748543332,1.6554969070741723,31.97912413868659,6.148010730743408
10,HMC,1.4459271853556301,1.6021361164892902,33.32234946510177,5.855435848236084
11,HMC,0.588687685834538,1.6656541319061073,31.78466097147195,5.913387060165405
12,HMC,2.376209782324294,1.5479218342327214,34.986976401793136,5.989283084869385
13,HMC,1.2974825274441042,1.640769396718064,32.40313802863565,5.9420166015625
14,HMC,0.03409416090597019,1.6758345219563735,31.565234129100162,5.85384726524353
15,HMC,2.2461438948406682,1.6016864431507216,33.42403909892942,5.976353645324707
16,HMC,1.479557481326411,1.6423849587668198,32.373099260819124,6.0991270542144775
17,HMC,0.8626805169260535,1.665442424618712,31.77099762643626,6.071223497390747
18,HMC,0.042103684245661466,1.6761933884665425,31.552251658828535,5.985318422317505
19,HMC,0.9316515082989534,1.6685217235423564,31.767348742567815,5.9160051345825195
20,HMC,0.9931597634551501,1.6678349464627673,31.75561418777414,5.85319447517395
