mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.034222108170740076,1.0061889030856155,2735.8514756373506,6.898730516433716
6,DEMetro,0.10337962066980544,1.0084263373783737,1977.9143016398268,7.136040925979614
7,DEMetro,0.14306872708943746,1.0166420230929476,978.8926730832491,7.044193983078003
8,DEMetro,0.04397147066030886,1.0322587078633418,767.2468043483984,7.278276443481445
9,DEMetro,0.14446302238547493,1.0693053879539418,236.9462850214946,7.953638076782227
10,DEMetro,0.6415593885423233,1.129076594364363,123.12117349187804,7.1905577182769775
11,DEMetro,0.6309537387460444,1.2826755172190858,58.196641917451686,7.055823802947998
12,DEMetro,0.1742204183837938,1.2778619249382808,60.085368301993434,6.746307373046875
13,DEMetro,1.805819160590565,1.3307915157138162,48.00618951481757,6.800367116928101
14,DEMetro,1.206792070856427,1.5264119768037656,35.958188833161785,6.9811530113220215
15,DEMetro,0.5479263454449723,1.5933786144642803,33.62904549805052,7.006410598754883
16,DEMetro,1.4672990608889824,1.6542143997807284,32.46217354056192,7.317108869552612
17,DEMetro,2.5242957563493085,1.6122398986492175,33.41810077515936,8.055774450302124
18,DEMetro,0.11254187066617016,1.6717180308639008,31.92143692317976,7.086225271224976
19,DEMetro,1.013459676985804,1.685907762979259,31.490853617437505,7.078647136688232
20,DEMetro,3.038298240423808,1.6180320029941988,33.5004354225961,6.899481534957886
