mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.044401207322333866,1.008220726724448,2107.6994603943667,5.077987194061279
6,Metro,0.020691838092177103,1.0154435226701806,1557.0036465851867,4.536412715911865
7,Metro,0.13499551560398543,1.023460475221128,1011.3952982062298,4.517025470733643
8,Metro,0.05079217167460195,1.086354780260119,159.23165541312176,4.461841106414795
9,Metro,0.2629606008873055,1.1381563453315489,112.70108897167466,4.490948915481567
10,Metro,0.154697932614945,1.1262213060985238,105.8458795724025,4.660523414611816
11,Metro,1.0961312710765352,1.0046830395088977,4759.8609452576775,4.6384947299957275
12,Metro,1.1926794970317751,1.0039124069815697,4376.929820288905,4.521625518798828
13,Metro,1.3485091415707335,1.0050405244459293,4369.2796739749365,4.375157833099365
14,Metro,1.3922734952113984,1.0039753111081604,4411.637365858333,4.7423388957977295
15,Metro,1.512629252569387,1.0044376827670463,4491.293216857716,4.480889797210693
16,Metro,1.63725991922708,1.005373773820569,4637.7709806499,4.487956762313843
17,Metro,1.685744398048,1.006374093230547,4572.524184737665,4.5177061557769775
18,Metro,1.7869481432274212,1.0050737918090986,4519.629822841388,4.628915548324585
19,Metro,1.8748215778210775,1.0038817863079927,4566.444302285793,4.4685139656066895
20,Metro,1.9895025136652287,1.0041587366765523,4475.368139441612,4.421690464019775
