mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.028200054457460055,1.0142941642143901,1266.765041670393,6.047533273696899
6,HMC,0.25147593101041926,1.0240744690257806,819.8853472105686,5.951314687728882
7,HMC,0.1835113336512419,1.0761758158382393,194.77539940541692,5.826339960098267
8,HMC,0.47592569698823856,1.2923935609033113,51.040170041319065,5.699246406555176
9,HMC,0.2382916555351847,1.1818855717864023,73.2488045995103,5.623652935028076
10,HMC,0.478533635981754,1.1403372886941165,92.66844296038028,5.871943473815918
11,HMC,1.1035537571483467,1.0016420425001817,8069.439361738776,5.678287506103516
12,HMC,1.1698250626329179,1.001319299529788,8889.515081823574,5.700950384140015
13,HMC,1.3374969950752729,1.0020755173773326,8050.026992712555,5.647040128707886
14,HMC,1.3810503008328345,1.000923208637686,8633.437590196649,5.711591720581055
15,HMC,1.4918790928712529,1.0011017825945427,8691.749237495405,5.757684230804443
16,HMC,1.6435416151334614,1.0019955582447864,8962.485787134152,5.769818305969238
17,HMC,1.6726829851655869,1.0021453090208186,8475.729801500021,5.691247940063477
18,HMC,1.7730318654024395,1.0019159912976396,8492.006901022969,5.741945505142212
19,HMC,1.8489954647142024,1.0015890467274406,8067.232765614006,5.6829612255096436
20,HMC,1.9709326816895683,1.0019004976616526,8552.104127250885,5.711261749267578
