mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.02479347967461774,1.0133232682582527,1164.4676259783457,6.0112550258636475
6,HMC,0.05312629094524564,1.0541709046202066,261.2087494817484,6.137009143829346
7,HMC,0.3980162856439193,1.0352750087225135,374.43333731515634,6.2268805503845215
8,HMC,0.18419955438092747,1.2260890223180434,64.26434005569205,5.970619440078735
9,HMC,3.581871421312102,1.6732984821278074,31.724705602791172,5.972337245941162
10,HMC,5.561244172320432,1.5740807434163897,34.08447450560669,5.933728456497192
11,HMC,4.970021390898125,1.666185255249706,31.778426421083793,5.913024425506592
12,HMC,2.995184143704167,1.6016860293081068,33.41757380140196,6.231096982955933
13,HMC,4.5155934458962275,1.6664806806303991,31.831161454794174,5.880643367767334
14,HMC,7.020080418161951,1.6418673661808143,32.402859713352434,5.9612884521484375
15,HMC,5.9945523382397425,1.6728501669298688,31.586111520085733,6.008156061172485
16,HMC,5.562336496688705,1.6659791985301011,31.76735854675078,5.962824821472168
17,HMC,8.517419500926227,1.6408217990667202,32.50341796371767,6.243082284927368
18,HMC,4.512961506182957,1.601410991538661,33.3549145147183,6.034071207046509
19,HMC,6.674424164942687,1.6647230227094298,31.833641277065297,5.976300239562988
20,HMC,7.034365145911385,1.6654267320788612,31.796914737063332,5.983253479003906
