mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.058612094631367205,1.0089380717251373,2598.4323388856687,4.792160987854004
6,Metro,0.05153725625875696,1.0157399673883263,1347.452544974172,4.751431465148926
7,Metro,0.06781086383829751,1.0314185176926827,647.9078026074018,4.660325527191162
8,Metro,0.052515650112166204,1.0379632697045045,462.76134609551264,5.00801157951355
9,Metro,0.06325894113809652,1.0930838843596897,144.31577731338237,4.788337707519531
10,Metro,1.6210819985730907,1.4076415646554314,41.38236419943152,4.781468391418457
11,Metro,1.970105996632516,1.5070136549913964,36.58454523244192,4.780909061431885
12,Metro,6.392752008026114,1.5912198358586178,33.72660272297925,4.712277173995972
13,Metro,6.462519537034614,1.6448608447872928,32.60921340565747,4.930396795272827
14,Metro,7.010910745978466,1.6436897257281546,32.52395480530112,4.79640793800354
15,Metro,5.247453116178631,1.6676946500453707,32.08632670119843,4.674743890762329
16,Metro,7.159059753296608,1.6679833206308612,31.98911792126951,4.613122463226318
17,Metro,5.961672512887407,1.6677924367617902,32.15452788111429,4.763435125350952
18,Metro,7.224036442935024,1.6756967972156325,31.74781365099521,4.705638885498047
19,Metro,5.734422113379697,1.6433780297697156,32.58605415976975,4.95900297164917
20,Metro,9.019751551414423,1.6668516863757363,31.94428330331321,4.715459585189819
