mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.21664385678263534,1.040142385977487,504.52410865919796,5.908268451690674
6,HMC,0.1600293120076564,1.1196679500162505,110.98138422253012,5.898621320724487
7,HMC,0.7779401855043229,1.2025050470191714,68.16381004357316,5.897800445556641
8,HMC,0.2501494814741431,1.4651737391671389,38.52904353256764,5.780693292617798
9,HMC,0.48027532421042335,1.6284487556871055,32.59217403962841,5.803534269332886
10,HMC,1.0390265628887447,1.6416178263810266,32.32194788976537,5.973114252090454
11,HMC,0.05675789693332548,1.6745621912323416,31.656884400049876,6.072702407836914
12,HMC,0.5652730989850555,1.6676976384519537,31.75347999941265,5.866799592971802
13,HMC,0.027007106622301928,1.6754036782454291,31.583608869853983,5.862411975860596
14,HMC,0.02986771245890587,1.675132242151206,31.588635220516743,5.836352825164795
15,HMC,0.031003427806824142,1.6755256202468274,31.627305581209093,5.813632249832153
16,HMC,0.1319456488075854,1.6750311415991688,31.619246317194328,5.732499599456787
17,HMC,0.022891988869770077,1.676168821896227,31.5711176062712,5.80398154258728
18,HMC,0.044276403007251,1.674724386952871,31.62498359079,6.031142711639404
19,HMC,0.06191909195512933,1.6753461842501587,31.601858166578836,6.034103155136108
20,HMC,0.02123268688046238,1.67579840291645,31.665084029862605,5.8306334018707275
