mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,DEMetro,0.07082783324597541,1.0108012160726816,2445.080456076726,6.914484739303589
6,DEMetro,0.05449864897158237,1.0115273778794978,1670.9614442380825,6.591427564620972
7,DEMetro,0.11865025397206808,1.0172838414595977,1225.5752677839073,6.64311146736145
8,DEMetro,0.12015809980446632,1.0229409674175076,954.8805805723578,6.549351215362549
9,DEMetro,0.05218747359174532,1.0453184958130846,462.09723042839016,6.5106706619262695
10,DEMetro,0.24315985623270153,1.0791457249197811,171.3201365709684,7.069237470626831
11,DEMetro,0.2994063267180372,1.15177702890298,91.01080655532171,6.872966289520264
12,DEMetro,0.4331631924268654,1.2139652845234352,71.34019104958078,7.244377613067627
13,DEMetro,0.18532363139454086,1.2179387585170212,64.69352706826896,7.065286874771118
14,DEMetro,0.15812456523747934,1.2356029761466332,61.448421220989566,6.897215366363525
15,DEMetro,2.2755535031067033,1.4620578170119425,39.051946107320674,6.681273937225342
16,DEMetro,3.114723280269808,1.4344830923639085,39.79997775232024,6.878808975219727
17,DEMetro,5.713306330117877,1.6373991318744054,32.65146733069264,6.825221538543701
18,DEMetro,6.436264828886206,1.6039731519534357,33.464190665900034,6.536531209945679
19,DEMetro,7.610942546036995,1.6880176984587913,31.52764938692229,6.8935935497283936
20,DEMetro,8.01600826753732,1.688924862603561,31.749745302053718,6.5199689865112305
