mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.09538010282596485,1.020975597753753,1184.9811193800783,11.864348411560059
6,HMC,0.1550861122667063,1.0644213750495466,223.18792482717873,5.649637460708618
7,HMC,0.3677613004471412,1.1851910668347891,72.30824384577221,5.928618431091309
8,HMC,1.3065638220906544,1.371206227254943,43.96083055601022,5.810825824737549
9,HMC,1.8622387024486389,1.5300663566928703,35.49990161803957,5.546530485153198
10,HMC,3.5236182997540824,1.6658738415016707,31.785011005971487,5.594573736190796
11,HMC,3.8358518208778856,1.6654167670657032,31.753265584664156,5.6341094970703125
12,HMC,4.210957029666012,1.6652415128084417,31.81726337490166,5.68366813659668
13,HMC,5.1545544473952924,1.6733586927387483,31.652955425322457,5.659569263458252
14,HMC,5.599646797764785,1.6733246914584536,31.699987344709925,5.54008412361145
15,HMC,5.981608994027222,1.6726378143707992,31.659913299761875,5.915464162826538
16,HMC,6.340489625221914,1.6725589023487675,31.670327502894597,5.882184267044067
17,HMC,6.80248130020541,1.6732239901672779,31.617138540159587,5.776277780532837
18,HMC,7.197865180799974,1.674201137334164,31.658899433766663,5.653048276901245
19,HMC,7.609881951761265,1.674623358733317,31.72729849699166,5.727463245391846
20,HMC,7.99812561619422,1.674439024594167,31.697244293173036,5.6176557540893555
