mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.052781309853217495,1.0052146203897434,2240.3997555273695,4.409613370895386
6,Metro,0.12436074652634774,1.0169423820769214,1198.5700981651066,4.434832811355591
7,Metro,0.03874419607115089,1.037456424239364,414.03000686388214,4.421452522277832
8,Metro,0.09713899864528587,1.053377208524727,269.81483131708495,4.591192960739136
9,Metro,0.04578618871829236,1.0678081003270232,186.4990416275859,4.73648476600647
10,Metro,0.5283407423580444,1.1996774604805616,72.19904398862167,4.370541334152222
11,Metro,3.198717505670454,1.5585694496621294,34.91000490906108,4.5173516273498535
12,Metro,4.544053311982659,1.66408207816468,31.900402364391926,4.568256616592407
13,Metro,5.125295408073634,1.6742293434155455,31.702161700731,4.414923667907715
14,Metro,5.594340757908273,1.6791309017162894,31.621645465769035,4.613818168640137
15,Metro,5.977578606806716,1.6791309017162894,31.621645465769035,4.467707872390747
16,Metro,6.3413619760207345,1.6791309017162894,31.621645465769035,4.479649543762207
17,Metro,6.804990962819903,1.6791309017162894,31.621645465769035,4.542909145355225
18,Metro,7.197837542789071,1.6791309017162894,31.621645465769035,4.321434020996094
19,Metro,7.610818722066448,1.6791309017162894,31.621645465769035,4.639664173126221
20,Metro,8.000849023702665,1.6791309017162894,31.621645465769035,4.664534091949463
